*Model*	*Throughput per GSU (tokens/sec)*	*Minimum GSU purchase*	*GSU purchase increment*	*Burndown rates*
DeepSeek-OCR  Latest supported version: deepseek-ocr-maas	3,360	1	1	1 input text token = 1 token 1 input image token = 1 token 1 output text token = 4 tokens
DeepSeek-V3.2  DeepSeek-V3.2  Latest supported version: deepseek-v3.2-maas	1,680	1	1	1 input text token = 1 token 1 output text token = 4 tokens
Gemma 4 26B A4B IT  Latest supported version: gemma-4-26b-a4b-it-maas  Provisioned Throughput support for this model is billed under the same SKUs  as Google models, but is subject to open model capabilities.	6,725	1	1	1 input text token = 1 token 1 input image token = 1 token 1 output text token = 4 tokens
Kimi K2 Thinking  Latest supported version: kimi-k2-thinking-maas	1,680	1	1	1 input text token = 1 token 1 output text token = 4 tokens
Llama 3.3 70B  Latest supported version: llama-3.3-70b-instruct-maas	1,400	1	1	1 input text token = 1 token 1 output text token = 1 token
Llama 4 Maverick 17B-128E  Latest supported version: llama-4-maverick-17b-128e-instruct-maas	2,800	1	1	1 input text token = 1 token 1 input image token = 1 token 1 output text token = 4 tokens
Llama 4 Scout 17B-16E  Latest supported version: llama-4-scout-17b-16e-instruct-maas	4,035	1	1	1 input text token = 1 token 1 input image token = 1 token 1 output text token = 3 tokens
MiniMax M2  Latest supported version: minimax-m2-maas	3,360	1	1	1 input text token = 1 token 1 output text token = 4 tokens
OpenAI gpt-oss 120B  Latest supported version: gpt-oss-120b-maas	11,205	1	1	1 input text token = 1 token 1 output text token = 4 tokens
OpenAI gpt-oss 20B  Latest supported version: gpt-oss-20b-maas	14,405	1	1	1 input text token = 1 token 1 output text token = 4 tokens
Qwen3 235B  Latest supported version: qwen3-235b-a22b-instruct-2507-maas	4,035	1	1	1 input text token = 1 token 1 output text token = 4 tokens
Qwen3 Coder  Latest supported version: qwen3-coder-480b-a35b-instruct-maas	1,010	1	1	1 input text token = 1 token 1 output text token = 4 tokens
Qwen3-Next-80B Instruct  Latest supported version: qwen3-next-80b-a3b-instruct-maas	6,725	1	1	1 input text token = 1 token 1 output text token = 8 tokens
Qwen3-Next-80B Thinking  Latest supported version: qwen3-next-80b-a3b-thinking-maas	6,725	1	1	1 input text token = 1 token 1 output text token = 8 tokens
GLM 4.7  Latest supported version: glm-4.7-maas	1,685	1	1	1 input text token = 1 token 1 output text token = 4 tokens
GLM 5  Latest supported version: glm-5-maas	1,010	1	1	1 input text token = 1 token 1 output text token = 3 tokens
Anthropic's Claude Opus 5 on Google Cloud	210	1	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Sonnet 5 on Google Cloud	350	25	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Fable 5 on Google Cloud	105	1	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Opus 4.8 on Google Cloud	210	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Opus 4.7 on Google Cloud	210	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Sonnet 4.6 on Google Cloud	350	25	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Opus 4.6 on Google Cloud	210	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Opus 4.5 on Google Cloud	210	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Sonnet 4.5 on Google Cloud	350	25	1	*Less than 200,000 input tokens:* 1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token  *Greater than or equal to 200,000 input tokens:* 1 input token = 2 token 1 output token = 7.5 tokens 1 cache write 5m token = 2.5 tokens 1 cache write 1h token = 4 tokens 1 cache hit token = 0.2 token
Anthropic's Claude Opus 4.1 on Google Cloud	70	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Haiku 4.5 on Google Cloud	1,050	8	1	*Less than 200,000 input tokens:* 1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Opus 4 on Google Cloud	70	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude Sonnet 4 on Google Cloud	350	25	1	*Less than 200,000 input tokens:* 1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token  *Greater than or equal to 200,000 input tokens:* 1 input token = 2 token 1 output token = 7.5 tokens 1 cache write 5m token = 2.5 tokens 1 cache write 1h token = 4 tokens 1 cache hit token = 0.2 token
Anthropic's Claude 3.7 Sonnet on Google Cloud (deprecated)	350	25	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache hit token = 0.1 token
Anthropic's Claude 3.5 Sonnet v2 on Google Cloud (deprecated)	350	25	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache hit token = 0.1 token
Anthropic's Claude 3.5 Haiku on Google Cloud (deprecated)	2,000	10	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude 3 Opus on Google Cloud	70	35	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache hit token = 0.1 token
Anthropic's Claude 3 Haiku on Google Cloud (deprecated)	4,200	5	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache write 1h token = 2 tokens 1 cache hit token = 0.1 token
Anthropic's Claude 3.5 Sonnet on Google Cloud (deprecated)	350	25	1	1 input token = 1 token 1 output token = 5 tokens 1 cache write 5m token = 1.25 tokens 1 cache hit token = 0.1 token
Gemini 3.6 Flash  Latest supported version: gemini-3.6-flash	675	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 1 token 1 input text caching token = 0.1 tokens 1 input image caching token = 0.1 tokens 1 input video caching token = 0.1 tokens 1 input audio caching token = 0.1 tokens 1 output text response token = 5 tokens
Gemini 3.5 Flash-Lite  Latest supported version: gemini-3.5-flash-lite	3,360	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 1 token 1 input text caching token = 0.1 tokens 1 input image caching token = 0.1 tokens 1 input video caching token = 0.1 tokens 1 input audio caching token = 0.1 tokens 1 output text response token = 9 tokens
Gemini 3.1 Flash-Lite Image (Nano Banana 2 Lite)  Latest supported version: gemini-3.1-flash-lite-image	4030	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 output response text token = 6 tokens 1 output reasoning text token = 6 tokens 1 output image token = 120 tokens
Gemini 3 Pro Image  Latest supported version: gemini-3-pro-image	500	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 output response text token = 6 tokens 1 output reasoning text token = 6 tokens 1 output image token = 60 tokens
Gemini 3.1 Flash Image  Latest supported version: gemini-3.1-flash-image	2015	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 output response text token = 6 tokens 1 output reasoning text token = 6 tokens 1 output image token = 120 tokens
Gemini 3.5 Flash  Latest supported version: gemini-3.5-flash	675	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 1 token 1 input text caching token = 0.1 tokens 1 input image caching token = 0.1 tokens 1 input video caching token = 0.1 tokens 1 input audio caching token = 0.1 tokens 1 output text token = 6 tokens
Gemini 3.1 Flash-Lite  Latest supported version: gemini-3.1-flash-lite	4030	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 2 tokens 1 input text caching token = 0.1 tokens 1 input image caching token = 0.1 tokens 1 input video caching token = 0.1 tokens 1 input audio caching token = 0.2 tokens 1 output response text token = 6 tokens 1 output reasoning text token = 6 tokens
Gemini 3.1 Pro  Latest supported version: gemini-3.1-pro-preview (preview)	500	Tokens	1	*Less than or equal to 200,000 input tokens:* 1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 1 token 1 input cache token = 0.1 tokens 1 output response text token = 6 tokens 1 output reasoning text token = 6 tokens  *Greater than 200,000 input tokens:* 1 input text token = 2 tokens 1 input image token = 2 tokens 1 input video token = 2 tokens 1 input audio token = 2 tokens 1 input cache token = 0.2 tokens 1 output response text token = 9 tokens 1 output reasoning text token = 9 tokens
Gemini 3 Flash  Latest supported version: gemini-3-flash-preview (preview)	2015	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 2 tokens 1 input text, image, video caching token = 0.1 tokens 1 input audio caching token = 0.2 tokens 1 output response text token = 6 tokens 1 output reasoning text token = 6 tokens
Gemini 2.5 Pro  Latest supported version: gemini-2.5-pro	650	Tokens	1	*Less than or equal to 200,000 input tokens:* 1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 1 token 1 output response text token = 8 tokens 1 output reasoning text token = 8 tokens  *Greater than 200,000 input tokens:* 1 input text token = 2 tokens 1 input image token = 2 tokens 1 input video token = 2 tokens 1 input audio token = 2 tokens 1 output response text token = 12 tokens 1 output reasoning text token = 12 tokens
Gemini 2.5 Flash Image  Latest supported version: gemini-2.5-flash-image	2,690	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 output text token = 9 tokens 1 output image token = 100 tokens
Gemini 2.5 Flash  Latest supported version: gemini-2.5-flash	2690	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 4 tokens 1 output response text token = 9 tokens 1 output reasoning text token = 9 tokens
Gemini 2.5 Flash-Lite  Latest supported version (GA): gemini-2.5-flash-lite  Latest supported version (preview): gemini-2.5-flash-lite-preview-09-2025	8,070	Tokens	1	1 input text token = 1 token 1 input image token = 1 token 1 input video token = 1 token 1 input audio token = 3 tokens 1 output response text token = 4 tokens 1 output reasoning text token = 4 tokens
Gemini 2.5 Flash with Gemini Live API native audio  Latest supported version: gemini-live-2.5-flash-native-audio	1,620	Tokens	1	1 input text token = 1 token 1 input audio token = 6 tokens 1 input video token = 6 tokens 1 input image token = 6 tokens 1 input session memory token = 1 token 1 output text token = 4 tokens 1 output audio token = 24 tokens
Veo 3.1 Lite Generate  Latest supported version: veo-3.1-lite-generate-001	0.035	Video seconds (720p)	1	1 (720p) output video second = 1 output video second
		Video+audio seconds (720p)	1	1 (720p) output video+audio second = 1.75 output video seconds
		Video seconds (1080p)	1	1 (1080p) output video second = 1.75 (720p) output video second
		Video+audio seconds (1080p)	1	1 (1080p) output video+audio second = 2.33 (720p) output video seconds
Veo 3.1  Latest supported version: veo-3.1-generate-001	0.004	Video seconds	1	1 output video second = 1 output video second
		Video+audio seconds	1	1 output video+audio second = 2 output video seconds
Veo 3.1 Fast  Latest supported version: veo-3.1-fast-generate-001	0.01	Video seconds (720p)	1	1 (720p) output video sec = 1 output video second
		Video + Audio seconds (720p)	1	1 (720p) output video + audio second = 1.30 output video seconds
		Video seconds (1080p)	1	1 (1080p) output video second = 1.30 (720p) output video seconds
		Video + Audio seconds (1080p)	1	1 (1080p) output video + audio second = 1.60 (720p) output video seconds
		Video seconds (4k)	1	1 (4k) output video second = 3.40 (720p) output video seconds
		Video + Audio seconds (4k)	1	1 (4k) output video + audio second = 4 (720p) output video seconds
Veo 3  Latest supported version: veo-3.0-generate-001	0.004	Video seconds	1	1 output video second = 1 output video second
		Video+audio seconds	1	1 output video+audio second = 2 output video seconds
Veo 3 Fast  Latest supported version: veo-3.0-fast-generate-001	0.01	Video seconds (720p)	1	1 (720p) output video sec = 1 output video second
		Video + Audio seconds (720p)	1	1 (720p) output video + audio second = 1.30 output video seconds
		Video seconds (1080p)	1	1 (1080p) output video second = 1.30 (720p) output video seconds
		Video + Audio seconds (1080p)	1	1 (1080p) output video + audio second = 1.60 (720p) output video seconds
